Date_Time,Minute,Status,Min_Class
49615,2020-07-01-12:42:57,42,0,f5
49616,2020-07-01-12:42:57,42,0,f5
49617,2020-07-01-12:42:58,42,0,f5
49618,2020-07-01-12:42:58,42,0,f5
49619,2020-07-01-12:42:59,42,1,f5
49620,2020-07-01-12:42:59,42,0,f5
49621,2020-07-01-12:43:00,43,1,f5
49622,2020-07-01-12:43:00,43,1,f5
49623,2020-07-01-12:43:01,43,1,f5
49624,2020-07-01-12:43:02,43,0,f5
49625,2020-07-01-12:43:02,43,1,f5
49626,2020-07-01-12:43:02,43,1,f5
49627,2020-07-01-12:43:03,43,1,f5
49628,2020-07-01-12:43:03,43,1,f5
49629,2020-07-01-12:43:04,43,0,f5
49630,2020-07-01-12:43:04,43,0,f5
49631,2020-07-01-12:43:05,43,1,f5
49632,2020-07-01-12:43:06,43,1,f5
49633,2020-07-01-12:43:07,43,0,f5
49634,2020-07-01-12:43:07,43,0,f5
49635,2020-07-01-12:43:08,43,1,f5
49636,2020-07-01-12:43:08,43,0,f5
49637,2020-07-01-12:43:10,43,0,f5
49638,2020-07-01-12:43:11,43,0,f5
49639,2020-07-01-12:43:12,43,0,f5
49640,2020-07-01-12:43:12,43,0,f5
49641,2020-07-01-12:43:13,43,1,f5
49642,2020-07-01-12:43:13,43,1,f5
49643,2020-07-01-12:43:14,43,1,f5
49644,2020-07-01-12:43:15,43,0,f5
49645,2020-07-01-12:43:16,43,1,f5
49646,2020-07-01-12:43:18,43,0,f5
49647,2020-07-01-12:43:19,43,1,f5
49648,2020-07-01-12:43:20,43,0,f5
49649,2020-07-01-12:43:20,43,1,f5
49650,2020-07-01-12:43:24,43,0,f5
49651,2020-07-01-12:43:24,43,1,f5
49652,2020-07-01-12:43:25,43,0,f5
49653,2020-07-01-12:43:26,43,1,f5
49654,2020-07-01-12:43:27,43,1,f5
49655,2020-07-01-12:43:27,43,1,f5
49656,2020-07-01-12:43:28,43,1,f5
49657,2020-07-01-12:43:29,43,1,f5
49658,2020-07-01-12:43:31,43,1,f5
49659,2020-07-01-12:43:31,43,1,f5
49660,2020-07-01-12:43:32,43,1,f5
49661,2020-07-01-12:43:34,43,0,f5
49662,2020-07-01-12:43:34,43,0,f5
49663,2020-07-01-12:43:35,43,0,f5
49664,2020-07-01-12:43:36,43,0,f5
49665,2020-07-01-12:43:37,43,0,f5
49666,2020-07-01-12:43:38,43,0,f5
49667,2020-07-01-12:43:39,43,1,f5
49668,2020-07-01-12:43:39,43,1,f5
49669,2020-07-01-12:43:40,43,0,f5
